time	acc0	acc1	acc2	gyro0	gyro1	gyro2	mag0	mag1	mag2	x	y	z	beta	Qx	Qy	Qz	Qw	orient	deltat	level
94557.9688	-0.0029	0.0003	-0.0003	-0.0194	0.0124	-0.0022	-0.5292	-0.6538	-0.5275	-0.582	0.221	0.402	-0.0129	0.005	0.02	0.0	1.0	0.0	0.0	0.0
94557.9787	-0.0029	0.0013	0.0007	-0.0085	0.0023	0.0006	-0.5292	-0.6538	-0.4945	-0.582	0.221	0.402	-0.0128	0.005	0.02	0.001	1.0	-2.312	0.0099	0.0
94557.9877	-0.0039	0.0013	-0.0003	-0.0199	0.0086	-0.0024	-0.5162	-0.6538	-0.5275	-0.582	0.221	0.402	-0.0133	0.005	0.021	0.0	1.0	-2.387	0.009	0.0
94558.0252	-0.0039	0.0013	0.0007	-0.0216	0.0054	-0.0002	-0.5162	-0.6538	-0.4945	-0.582	0.221	0.402	-0.0129	0.005	0.02	0.0	1.0	-2.328	0.0375	0.0
94558.0345	-0.0029	0.0023	0.0007	-0.0199	0.0171	0.0005	-0.5292	-0.6538	-0.4945	-0.582	0.221	0.402	-0.0129	0.005	0.02	0.0	1.0	-2.324	0.0093	0.0
94558.0639	-0.0029	0.0003	0.0007	-0.0216	0.007	-0.0027	-0.5292	-0.6538	-0.5275	-0.582	0.221	0.402	-0.013	0.005	0.02	0.001	1.0	-2.333	0.0294	0.0
94558.073	-0.0019	0.0013	0.0007	-0.0222	0.0124	-0.0002	-0.5292	-0.6538	-0.4945	-0.582	0.221	0.402	-0.013	0.005	0.02	0.001	1.0	-2.339	0.0091	0.0
94558.0819	-0.0029	0.0013	0.0007	-0.0205	0.007	-0.0006	-0.5292	-0.6538	-0.5275	-0.582	0.221	0.402	-0.0129	0.005	0.02	0.001	1.0	-2.326	0.0089	0.0
94558.1095	-0.0029	0.0023	-0.0003	-0.0154	0.0062	0.0013	-0.5292	-0.6538	-0.4615	-0.582	0.221	0.402	-0.0129	0.005	0.02	0.001	1.0	-2.32	0.0276	0.0
94558.1176	-0.0039	0.0023	0.0007	-0.0233	0.0015	-0.0018	-0.5292	-0.6538	-0.4945	-0.582	0.221	0.402	-0.0129	0.005	0.02	0.0	1.0	-2.321	0.0081	0.0
94558.1564	-0.0029	0.0013	-0.0003	-0.0131	0.0086	-0.0011	-0.5292	-0.6538	-0.5275	-0.582	0.221	0.402	-0.0129	0.005	0.02	0.0	1.0	-2.323	0.0388	0.0
94558.1659	-0.0019	0.0013	-0.0003	-0.0239	0.0039	0.0024	-0.5292	-0.6538	-0.4945	-0.582	0.221	0.402	-0.013	0.005	0.02	0.001	1.0	-2.332	0.0095	0.0
94558.1757	-0.0029	0.0013	0.0007	-0.0154	-0.0008	-0.001	-0.5292	-0.6538	-0.4945	-0.582	0.221	0.402	-0.0129	0.005	0.02	0.001	1.0	-2.327	0.0098	0.0
94558.2146	-0.0039	0.0023	0.0007	-0.0216	0.0203	0.0024	-0.5292	-0.6538	-0.5275	-0.582	0.221	0.402	-0.0135	0.005	0.021	0.001	1.0	-2.428	0.0389	0.0
94558.2236	-0.0029	0.0013	-0.0003	-0.0188	-0.0031	0.0008	-0.5292	-0.6538	-0.4945	-0.582	0.221	0.402	-0.0129	0.005	0.02	0.001	1.0	-2.318	0.009	0.0
94558.2326	-0.0039	0.0023	-0.0003	-0.0182	0.0101	0.0003	-0.5292	-0.6538	-0.4945	-0.582	0.221	0.402	-0.0133	0.005	0.021	0.0	1.0	-2.394	0.009	0.0
94558.2821	-0.0029	0.0013	0.0007	-0.0176	0.0	-0.0016	-0.5292	-0.6538	-0.5275	-0.582	0.221	0.402	-0.013	0.005	0.02	0.001	1.0	-2.333	0.0495	0.0
94558.2908	-0.0029	0.0013	0.0007	-0.0159	0.0101	-0.0021	-0.5292	-0.6538	-0.4945	-0.582	0.221	0.402	-0.0129	0.005	0.02	0.001	1.0	-2.328	0.0087	0.0
94558.3	-0.0029	0.0023	0.0007	-0.0159	0.0094	-0.003	-0.5162	-0.6538	-0.5275	-0.582	0.221	0.402	-0.0129	0.005	0.02	0.0	1.0	-2.315	0.0092	0.0
94558.3481	-0.0029	0.0023	0.0007	-0.021	0.0117	-0.001	-0.5292	-0.6538	-0.4945	-0.582	0.221	0.402	-0.0129	0.005	0.02	0.001	1.0	-2.326	0.0481	0.0
94558.3575	-0.0029	0.0013	0.0007	-0.0142	0.0179	0.0006	-0.5292	-0.6538	-0.4615	-0.582	0.221	0.402	-0.0129	0.005	0.02	0.0	1.0	-2.327	0.0094	0.0
94558.3663	-0.0029	0.0013	0.0007	-0.0194	0.0086	-0.0013	-0.5292	-0.6538	-0.5275	-0.582	0.221	0.402	-0.0131	0.004	0.021	0.001	1.0	-2.359	0.0088	0.0
94558.3944	-0.0029	0.0013	0.0007	-0.0222	0.0	-0.0019	-0.5292	-0.6538	-0.4945	-0.582	0.221	0.402	-0.0128	0.005	0.02	0.001	1.0	-2.308	0.0281	0.0
94558.4033	-0.0029	0.0003	0.0007	-0.0216	0.0054	-0.0005	-0.5292	-0.6538	-0.4945	-0.582	0.221	0.402	-0.0129	0.005	0.02	0.0	1.0	-2.32	0.0089	0.0
94558.4491	-0.0039	0.0023	-0.0003	-0.0222	0.0109	0.0	-0.5292	-0.6538	-0.4945	-0.582	0.221	0.402	-0.0129	0.005	0.02	0.0	1.0	-2.314	0.0458	0.0
94558.4582	-0.0039	0.0013	0.0007	-0.0171	0.0047	-0.0005	-0.5162	-0.6538	-0.5275	-0.582	0.221	0.402	-0.0129	0.005	0.02	0.0	1.0	-2.329	0.0091	0.0
94558.4672	-0.0029	0.0013	0.0007	-0.0131	0.0062	-0.0024	-0.5292	-0.6538	-0.4945	-0.582	0.221	0.402	-0.0129	0.005	0.02	0.0	1.0	-2.323	0.009	0.0
94558.4762	-0.0039	0.0013	0.0007	-0.0125	0.0015	-0.0037	-0.5162	-0.6538	-0.4615	-0.582	0.221	0.402	-0.0129	0.005	0.02	0.001	1.0	-2.33	0.009	0.0
94558.5051	-0.0019	0.0003	-0.0003	-0.0136	0.0031	0.0003	-0.5292	-0.6538	-0.4945	-0.582	0.221	0.402	-0.0129	0.005	0.02	0.0	1.0	-2.319	0.0289	0.0
94558.5141	-0.0029	0.0003	0.0007	-0.0222	0.0124	0.0026	-0.5292	-0.6538	-0.4615	-0.582	0.221	0.402	-0.0129	0.005	0.02	0.001	1.0	-2.316	0.009	0.0
94558.56	-0.0019	0.0013	-0.0003	-0.0136	0.0171	0.0003	-0.5292	-0.6538	-0.5275	-0.582	0.221	0.402	-0.0129	0.005	0.02	0.0	1.0	-2.314	0.0459	0.0
94558.569	-0.0029	0.0003	-0.0003	-0.0205	0.0094	0.0	-0.5292	-0.6538	-0.4615	-0.582	0.221	0.402	-0.0129	0.005	0.02	0.0	1.0	-2.319	0.009	0.0
94558.5776	-0.0029	0.0013	0.0007	-0.0256	0.0086	-0.0016	-0.5162	-0.6538	-0.5275	-0.582	0.221	0.402	-0.0129	0.005	0.02	0.001	1.0	-2.321	0.0086	0.0
94558.5866	-0.0029	0.0013	-0.0003	-0.0222	0.0124	-0.0014	-0.5292	-0.6538	-0.4945	-0.582	0.221	0.402	-0.0125	0.009	0.02	0.001	1.0	-2.243	0.009	0.0
94558.6135	-0.0029	0.0013	-0.0003	-0.0182	0.0031	0.0011	-0.5292	-0.6538	-0.4945	-0.582	0.221	0.402	-0.0128	0.005	0.02	0.0	1.0	-2.309	0.0269	0.0
94558.6239	-0.0029	0.0013	0.0007	-0.0159	0.0062	-0.0014	-0.5292	-0.6538	-0.4945	-0.582	0.221	0.402	-0.0129	0.005	0.02	0.001	1.0	-2.316	0.0104	0.0
94558.6329	-0.0029	0.0013	0.0007	-0.0176	0.0039	-0.0011	-0.5292	-0.6538	-0.4615	-0.582	0.221	0.402	-0.0129	0.005	0.02	0.0	1.0	-2.326	0.009	0.0
94558.652	-0.0039	0.0013	0.0007	-0.0228	0.0078	-0.0034	-0.5292	-0.6538	-0.4945	-0.582	0.221	0.402	-0.0129	0.005	0.02	0.001	1.0	-2.319	0.0191	0.0
94558.661	-0.0029	0.0013	0.0007	-0.0171	0.014	-0.0011	-0.5292	-0.6538	-0.4945	-0.582	0.221	0.402	-0.0129	0.005	0.02	0.0	1.0	-2.321	0.009	0.0
94558.7076	-0.0029	0.0003	0.0007	-0.0188	0.0062	-0.0043	-0.5292	-0.6538	-0.4615	-0.582	0.221	0.402	-0.0129	0.005	0.02	0.0	1.0	-2.329	0.0466	0.0
94558.7167	-0.0029	0.0003	0.0007	-0.0222	0.0047	-0.0008	-0.5292	-0.6538	-0.5275	-0.582	0.221	0.402	-0.0131	0.005	0.021	0.001	1.0	-2.359	0.0091	0.0
94558.7267	-0.0029	0.0023	0.0007	-0.021	-0.0023	-0.0014	-0.5292	-0.6538	-0.4945	-0.582	0.221	0.402	-0.0128	0.005	0.02	0.001	1.0	-2.31	0.01	0.0
94558.7449	-0.0029	0.0023	0.0007	-0.0228	0.007	0.0006	-0.5292	-0.6538	-0.4615	-0.582	0.221	0.402	-0.0129	0.005	0.02	0.0	1.0	-2.322	0.0182	0.0
94558.7556	-0.0029	0.0013	-0.0003	-0.0188	0.0008	-0.0027	-0.5292	-0.6538	-0.5275	-0.582	0.221	0.402	-0.0128	0.005	0.02	0.001	1.0	-2.313	0.0107	0.0
94558.7657	-0.0029	0.0013	0.0007	-0.0085	-0.0124	0.0008	-0.5292	-0.6538	-0.4615	-0.582	0.221	0.402	-0.0123	0.009	0.019	0.0	1.0	-2.214	0.0101	0.0
94558.7761	-0.0029	0.0023	-0.0003	-0.0131	0.0109	-0.0014	-0.5292	-0.6538	-0.5275	-0.582	0.221	0.402	-0.0129	0.005	0.02	0.001	1.0	-2.328	0.0104	0.0
94558.8039	-0.0039	0.0023	0.0007	-0.0222	0.0086	-0.001	-0.5292	-0.6538	-0.4945	-0.582	0.221	0.402	-0.0129	0.005	0.02	0.001	1.0	-2.318	0.0278	0.0
94558.8126	-0.0039	0.0033	0.0007	-0.0205	0.0	-0.0034	-0.5162	-0.6538	-0.5275	-0.582	0.221	0.402	-0.0129	0.005	0.02	0.001	1.0	-2.33	0.0087	0.0
94558.8223	-0.0029	0.0013	-0.0003	-0.0159	0.014	-0.0026	-0.5162	-0.6538	-0.5275	-0.582	0.221	0.402	-0.0129	0.005	0.02	0.001	1.0	-2.318	0.0097	0.0
94558.8585	-0.0029	0.0013	0.0007	-0.0199	0.0094	0.0016	-0.5162	-0.6538	-0.4945	-0.582	0.221	0.402	-0.0129	0.005	0.02	0.0	1.0	-2.319	0.0362	0.0
94558.8665	-0.0039	0.0023	0.0007	-0.0131	0.0109	-0.0003	-0.5162	-0.6538	-0.4615	-0.582	0.221	0.402	-0.0133	0.005	0.021	0.0	1.0	-2.392	0.008	0.0
94558.8758	-0.0039	0.0023	-0.0003	-0.0176	0.0015	0.0014	-0.5162	-0.6538	-0.4945	-0.582	0.221	0.402	-0.0129	0.005	0.02	0.001	1.0	-2.33	0.0093	0.0
94558.885	-0.0029	0.0013	0.0007	-0.0171	-0.0008	0.0018	-0.5162	-0.6538	-0.4945	-0.582	0.221	0.402	-0.0129	0.005	0.02	0.001	1.0	-2.329	0.0092	0.0
94558.9208	-0.0029	0.0013	0.0007	-0.0154	0.0078	-0.001	-0.5162	-0.6538	-0.4615	-0.582	0.221	0.402	-0.0129	0.005	0.02	0.001	1.0	-2.325	0.0358	0.0
94558.9297	-0.0039	0.0013	-0.0003	-0.0131	0.0117	-0.0014	-0.5162	-0.6538	-0.5275	-0.582	0.221	0.402	-0.0129	0.005	0.02	0.001	1.0	-2.317	0.0089	0.0
94558.9387	-0.0029	0.0013	-0.0003	-0.0125	0.0101	0.0002	-0.5032	-0.6538	-0.4945	-0.582	0.221	0.402	-0.0127	0.006	0.02	0.0	1.0	-2.293	0.009	0.0
94558.9477	-0.0019	0.0003	-0.0003	-0.0136	0.0101	-0.0002	-0.5162	-0.6538	-0.4615	-0.582	0.221	0.402	-0.0123	0.009	0.019	0.0	1.0	-2.209	0.009	0.0
94558.9846	-0.0029	0.0023	-0.0003	-0.0256	-0.0078	0.001	-0.5162	-0.6538	-0.4615	-0.582	0.221	0.402	-0.0133	0.005	0.021	0.0	1.0	-2.396	0.0369	0.0
94558.9936	-0.0029	0.0013	-0.0003	-0.0319	0.0117	0.0005	-0.5162	-0.6674	-0.4945	-0.582	0.221	0.402	-0.0133	0.005	0.021	0.0	1.0	-2.395	0.009	0.0
94559.0025	-0.0029	0.0023	-0.0003	-0.021	0.0054	-0.0018	-0.5162	-0.6538	-0.4615	-0.582	0.221	0.402	-0.0132	0.005	0.021	0.0	1.0	-2.381	0.0089	0.0
