acc0	acc1	acc2	gyro0	gyro1	gyro2	mag0	mag1	mag2	x	y	z	beta	Qx	Qy	Qz	Qw	delta_t	delta_x	delta_y	delta_z
-0.0029	0.0003	-0.0003	-0.0194	0.0124	-0.0022	-0.5292	-0.6538	-0.5275	-0.582	0.221	0.402	-0.0129	0.005	0.02	0.0	1.0	0.0	0.0	0.0	0.0
-0.0029	0.0013	0.0007	-0.0085	0.0023	0.0006	-0.5292	-0.6538	-0.4945	-0.582	0.221	0.402	-0.0128	0.005	0.02	0.001	1.0	0.0891	0.0	0.0	0.0
-0.0039	0.0013	-0.0003	-0.0199	0.0086	-0.0024	-0.5162	-0.6538	-0.5275	-0.582	0.221	0.402	-0.0133	0.005	0.021	0.0	1.0	0.081	0.0	0.0	0.0
-0.0039	0.0013	0.0007	-0.0216	0.0054	-0.0002	-0.5162	-0.6538	-0.4945	-0.582	0.221	0.402	-0.0129	0.005	0.02	0.0	1.0	0.3375	0.0	0.0	0.0
-0.0029	0.0023	0.0007	-0.0199	0.0171	0.0005	-0.5292	-0.6538	-0.4945	-0.582	0.221	0.402	-0.0129	0.005	0.02	0.0	1.0	0.0837	0.0	0.0	0.0
-0.0029	0.0003	0.0007	-0.0216	0.007	-0.0027	-0.5292	-0.6538	-0.5275	-0.582	0.221	0.402	-0.013	0.005	0.02	0.001	1.0	0.2646	0.0	0.0	0.0
-0.0019	0.0013	0.0007	-0.0222	0.0124	-0.0002	-0.5292	-0.6538	-0.4945	-0.582	0.221	0.402	-0.013	0.005	0.02	0.001	1.0	0.0819	0.0	0.0	0.0
-0.0029	0.0013	0.0007	-0.0205	0.007	-0.0006	-0.5292	-0.6538	-0.5275	-0.582	0.221	0.402	-0.0129	0.005	0.02	0.001	1.0	0.0801	0.0	0.0	0.0
-0.0029	0.0023	-0.0003	-0.0154	0.0062	0.0013	-0.5292	-0.6538	-0.4615	-0.582	0.221	0.402	-0.0129	0.005	0.02	0.001	1.0	0.2484	0.0	0.0	0.0
-0.0039	0.0023	0.0007	-0.0233	0.0015	-0.0018	-0.5292	-0.6538	-0.4945	-0.582	0.221	0.402	-0.0129	0.005	0.02	0.0	1.0	0.0729	0.0	0.0	0.0
